หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ก,แผนงานบริหารงานปกครองและทะเบียน,30211700
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ข,แผนงานบริหารการคลัง,9054800
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,113250200
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,28603000
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,จ,แผนงานการโยธา: งานการโยธา,13342100
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5315100
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,14131200
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,13499900
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,งานควบคุมอนามัย,6204100
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,18583900
23,สำนักงานเขตสัมพันธวงศ์,208176600,,รายจ่ายประจำ,208176600
23,สำนักงานเขตสัมพันธวงศ์,208176600,ก,แผนงานบริหารงานปกครองและทะเบียน,27048900
23,สำนักงานเขตสัมพันธวงศ์,208176600,ข,แผนงานบริหารการคลัง,10521800
23,สำนักงานเขตสัมพันธวงศ์,208176600,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,76505600
23,สำนักงานเขตสัมพันธวงศ์,208176600,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,22271700
23,สำนักงานเขตสัมพันธวงศ์,208176600,จ,แผนงานการโยธา: งานการโยธา,20484200
23,สำนักงานเขตสัมพันธวงศ์,208176600,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5733600
23,สำนักงานเขตสัมพันธวงศ์,208176600,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,7788100
23,สำนักงานเขตสัมพันธวงศ์,208176600,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,16113300
23,สำนักงานเขตสัมพันธวงศ์,208176600,,งานควบคุมอนามัย,4806100
23,สำนักงานเขตสัมพันธวงศ์,208176600,ญ,แผนงานบริหารการศึกษา,16903300
24,สำนักงานเขตบางรัก,246445000,,รายจ่ายประจำ,246445000
24,สำนักงานเขตบางรัก,246445000,ก,แผนงานบริหารงานปกครองและทะเบียน,22322100
24,สำนักงานเขตบางรัก,246445000,ข,แผนงานบริหารการคลัง,11550600
24,สำนักงานเขตบางรัก,246445000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,113844780
24,สำนักงานเขตบางรัก,246445000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,21961000
24,สำนักงานเขตบางรัก,246445000,จ,แผนงานการโยธา: งานการโยธา,19772600
24,สำนักงานเขตบางรัก,246445000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,7340800
24,สำนักงานเขตบางรัก,246445000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,12075400
24,สำนักงานเขตบางรัก,246445000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,14167800
24,สำนักงานเขตบางรัก,246445000,,งานควบคุมอนามัย,5263800
24,สำนักงานเขตบางรัก,246445000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,18146120
25,สำนักงานเขตปทุมวัน,354141000,,รายจ่ายประจำ,354141000
25,สำนักงานเขตปทุมวัน,354141000,ก,แผนงานบริหารงานปกครองและทะเบียน,38812200
25,สำนักงานเขตปทุมวัน,354141000,ข,แผนงานบริหารการคลัง,9623900
25,สำนักงานเขตปทุมวัน,354141000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,150362600
25,สำนักงานเขตปทุมวัน,354141000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,24010200
25,สำนักงานเขตปทุมวัน,354141000,จ,แผนงานการโยธา: งานการโยธา,23082000
25,สำนักงานเขตปทุมวัน,354141000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5831400
25,สำนักงานเขตปทุมวัน,354141000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,19880700
25,สำนักงานเขตปทุมวัน,354141000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26464000
25,สำนักงานเขตปทุมวัน,354141000,,งานควบคุมอนามัย,5735000
25,สำนักงานเขตปทุมวัน,354141000,ญ,แผนงานบริหารการศึกษา,50339000
26,สำนักงานเขตยานนาวา,310196614,,รายจ่ายประจำ,310196614
26,สำนักงานเขตยานนาวา,310196614,ก,แผนงานบริหารงานปกครองและทะเบียน,27628700
26,สำนักงานเขตยานนาวา,310196614,ข,แผนงานบริหารการคลัง,10636875
26,สำนักงานเขตยานนาวา,310196614,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,130687300
26,สำนักงานเขตยานนาวา,310196614,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,13696300
26,สำนักงานเขตยานนาวา,310196614,จ,แผนงานการโยธา: งานการโยธา,12713000
26,สำนักงานเขตยานนาวา,310196614,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,20063000
26,สำนักงานเขตยานนาวา,310196614,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,19715600
26,สำนักงานเขตยานนาวา,310196614,,งานควบคุมอนามัย,5277485
26,สำนักงานเขตยานนาวา,310196614,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,35796700
27,สำนักงานเขตดุสิต,401245000,,รายจ่ายประจำ,401245000
27,สำนักงานเขตดุสิต,401245000,ก,แผนงานบริหารงานปกครองและทะเบียน,44663100
27,สำนักงานเขตดุสิต,401245000,ข,แผนงานบริหารการคลัง,11408200
27,สำนักงานเขตดุสิต,401245000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,173520000
