หมายเลขงบ,ชื่องบ,ประเภทแผนงาน,dname,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
27,สำนักงานเขตดุสิต,โยธา/ก่อสร้าง/จราจร,ดุสิต,401245000,จ,แผนงานการโยธา: งานการโยธา,13398600,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
28,สำนักงานเขตพญาไท,ทั่วไป/บริหาร/อื่นๆ,พญาไท,335172500,ก,แผนงานบริหารงานปกครองและทะเบียน,35574800,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,โยธา/ก่อสร้าง/จราจร,พญาไท,335172500,จ,แผนงานการโยธา: งานการโยธา,35281700,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,เทศกิจ/รักษาความสะอาด,พญาไท,335172500,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,21563500,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,สิ่งแวดล้อม,พญาไท,335172500,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,22853500,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,น้ำท่วม/ทางเท้า,พญาไท,335172500,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,17801600,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,การศึกษา,พญาไท,335172500,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,14628400,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,การคลัง,พญาไท,335172500,ข,แผนงานบริหารการคลัง,10959000,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,เทศกิจ/รักษาความสะอาด,พญาไท,335172500,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,144999500,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,อนามัย/สาธารณะสุข,พญาไท,335172500,,งานควบคุมอนามัย,6001400,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
28,สำนักงานเขตพญาไท,พัฒนาชุมชน/อาชีพ,พญาไท,335172500,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,25509100,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
29,สำนักงานเขตห้วยขวาง,การคลัง,ห้วยขวาง,352262000,ข,แผนงานบริหารการคลัง,12503600,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
29,สำนักงานเขตห้วยขวาง,สิ่งแวดล้อม,ห้วยขวาง,352262000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,27137400,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
29,สำนัก��านเขตห้วยขวาง,การศึกษา,ห้วยขวาง,352262000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,35025800,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
29,สำนักงานเขตห้วยขวาง,เทศกิจ/รักษาความสะอาด,ห้วยขวาง,352262000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,141522600,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
29,สำนักงานเขตห้วยขวาง,พัฒนาชุมชน/อาชีพ,ห้วยขวาง,352262000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,19820300,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
29,สำนักงานเขตห้วยขวาง,น้ำท่วม/ทางเท้า,ห้วยขวาง,352262000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,17800800,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
29,สำนักงานเขตห้วยขวาง,อนามัย/สาธารณะสุข,ห้วยขวาง,352262000,,งานควบคุมอนามัย,6976600,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
