Unnamed: 0,หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,province,zipcode,latitude,longitude,AREA,dcode,dname_e,pcode,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,ประเภทแผนงาน
511,60,สำนักงานเขตบางแค,477760400,ข,แผนงานบริหารการคลัง,11313300,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,การคลัง
512,60,สำนักงานเขตบางแค,477760400,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,147926300,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
513,60,สำนักงานเขตบางแค,477760400,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,23186200,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
514,60,สำนักงานเขตบางแค,477760400,จ,แผนงานการโยธา: งานการโยธา,46123200,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
515,60,สำนักงานเขตบางแค,477760400,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,33592500,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,น้ำท่วม/ทางเท้า
516,60,สำนักงานเขตบางแค,477760400,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,37976000,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,สิ่งแวดล้อม
517,60,สำนักงานเขตบางแค,477760400,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,27781400,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
518,60,สำนักงานเขตบางแค,477760400,,งานควบคุมอนามัย,6743700,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,อนามัย/สาธารณะสุข
519,60,สำนักงานเขตบางแค,477760400,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,116158700,บางแค,กรุงเทพมหานคร,10160.0,13.698,100.40899999999999,,,,,,,,,,,,การศึกษา
520,61,สำนักงานเขตหลักส่ี,346889000,,รายจ่ายประจำ,346889000,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
521,61,สำนักงานเขตหลักส่ี,346889000,ก,แผนงานบริหารงานปกครองและทะเบียน,38698900,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
522,61,สำนักงานเขตหลักส่ี,346889000,ข,แผนงานบริหารการคลัง,10601000,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,การคลัง
523,61,สำนักงานเขตหลักส่ี,346889000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,111476600,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
524,61,สำนักงานเขตหลักส่ี,346889000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,13082900,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
525,61,สำนักงานเขตหลักส่ี,346889000,จ,แผนงานการโยธา: งานการโยธา,48730500,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
526,61,สำนักงานเขตหลักส่ี,346889000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,13930900,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,น้ำท่วม/ทางเท้า
527,61,สำนักงานเขตหลักส่ี,346889000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,22011200,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,สิ่งแวดล้อม
528,61,สำนักงานเขตหลักส่ี,346889000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,27961600,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
529,61,สำนักงานเขตหลักส่ี,346889000,,งานควบคุมอนามัย,6154600,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,อนามัย/สาธารณะสุข
530,61,สำนักงานเขตหลักส่ี,346889000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,54240800,หลักสี่,กรุงเทพมหานคร,10210.0,13.883,100.564,,,,,,,,,,,,การศึกษา
531,62,สำนักงานเขตสายไหม,418022000,,รายจ่ายประจำ,418022000,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
532,62,สำนักงานเขตสายไหม,418022000,ก,แผนงานบริหารงานปกครองและทะเบียน,30451800,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
533,62,สำนักงานเขตสายไหม,418022000,ข,แผนงานบริหารการคลัง,9787300,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,การคลัง
534,62,สำนักงานเขตสายไหม,418022000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,100653100,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
535,62,สำนักงานเขตสายไหม,418022000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,13716500,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
536,62,สำนักงานเขตสายไหม,418022000,จ,แผนงานการโยธา: งานการโยธา,70118100,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
537,62,สำนักงานเขตสายไหม,418022000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,19073900,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,น้ำท่วม/ทางเท้า
538,62,สำนักงานเขตสายไหม,418022000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,18439800,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,สิ่งแวดล้อม
539,62,สำนักงานเขตสายไหม,418022000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,35078300,สายไหม,กรุงเทพมหานคร,10220.0,13.921,100.654,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
