หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,งบแผนงาน,ประเภทแผนงาน,แผนงาน
18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ง,564973100,ท่องเที่ยว/กีฬา,แผนงานการกีฬา
19,สำนักพัฒนาสังคม,424785000,,424785000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
19,สำนักพัฒนาสังคม,424785000,ก,22941600,พัฒนาชุมชน/อาชีพ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม
19,สำนักพัฒนาสังคม,424785000,ข,66178000,พัฒนาชุมชน/อาชีพ,แผนงานบริการสังคม: งานสวัสดิการสังคม
19,สำนักพัฒนาสังคม,424785000,ค,80444700,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน
19,สำนักพัฒนาสังคม,424785000,ง,255220700,พัฒนาชุมชน/อาชีพ,แผนงานส่งเสริมอาชีพ
20,สำนักการวางผังและพัฒนาเมือง,316341000,,316341000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
20,สำนักการวางผังและพัฒนาเมือง,316341000,ก,25886500,ขนส่งสาธารณะ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร
20,สำนักการวางผังและพัฒนาเมือง,316341000,ข,290454500,โยธา/ก่อสร้าง/จราจร,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร
21,สำนักงานเขตพระนคร,412864000,,412864000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
21,สำนักงานเขตพระนคร,412864000,ก,26040000,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
21,สำนักงานเขตพระนคร,412864000,ข,10676100,การคลัง,แผนงานบริหารการคลัง
21,สำนักงานเขตพระนคร,412864000,ค,192224300,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
21,สำนักงานเขตพระนคร,412864000,ง,73902900,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
21,สำนักงานเขตพระนคร,412864000,จ,13901000,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
21,สำนักงานเขตพระนคร,412864000,,8121900,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
21,สำนักงานเขตพระนคร,412864000,ช,26083100,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
21,สำนักงานเขตพระนคร,412864000,ซ,11621000,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
21,สำนักงานเขตพระนคร,412864000,,6791400,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
21,สำนักงานเขตพระนคร,412864000,ญ,43502300,การศึกษา,แผนงา��บริหารการศึกษา: งานบริหารการศึกษา
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,252196000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ก,30211700,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ข,9054800,การคลัง,แผนงานบริหารการคลัง
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ค,113250200,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ง,28603000,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,จ,13342100,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,5315100,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ช,14131200,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ซ,13499900,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,6204100,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,ญ,18583900,การศึกษา,แผนงานบริหารการศึกษา: งานบริหารการศึกษา
23,สำนักงานเขตสัมพันธวงศ์,208176600,,208176600,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
23,สำนักงานเขตสัมพันธวงศ์,208176600,ก,27048900,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
23,สำนักงานเขตสัมพันธวงศ์,208176600,ข,10521800,การคลัง,แผนงานบริหารการคลัง
23,สำนักงานเขตสัมพันธวงศ์,208176600,ค,76505600,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
23,สำนักงานเขตสัมพันธวงศ์,208176600,ง,22271700,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
23,สำนักงานเขตสัมพันธวงศ์,208176600,จ,20484200,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
23,สำนักงานเขตสัมพันธวงศ์,208176600,,5733600,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
23,สำนักงานเขตสัมพันธวงศ์,208176600,ช,7788100,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
23,สำนักงานเขตสัมพันธวงศ์,208176600,ซ,16113300,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
23,สำนักงานเขตสัมพันธวงศ์,208176600,,4806100,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
23,สำนักงานเขตสัมพันธวงศ์,208176600,ญ,16903300,การศึกษา,แผนงานบริหารการศึกษา
24,สำนักงานเขตบางรัก,246445000,,246445000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
24,สำนักงานเขตบางรัก,246445000,ก,22322100,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
24,สำนักงานเขตบางรัก,246445000,ข,11550600,การคลัง,แผนงานบริหารการคลัง
24,สำนักงานเขตบางรัก,246445000,ค,113844780,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
24,สำนักงานเขตบางรัก,246445000,ง,21961000,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
24,สำนักงานเขตบางรัก,246445000,จ,19772600,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
24,สำนักงานเขตบางรัก,246445000,,7340800,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
24,สำนักงานเขตบางรัก,246445000,ช,12075400,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
24,สำนักงานเขตบางรัก,246445000,ซ,14167800,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
24,สำนักงานเขตบางรัก,246445000,,5263800,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
24,สำนักงานเขตบางรัก,246445000,ญ,18146120,การศึกษา,แผนงานบริหารการศึกษา: งานบริหารการศึกษา
25,สำนักงานเขตปทุมวัน,354141000,,354141000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
25,สำนักงานเขตปทุมวัน,354141000,ก,38812200,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
25,สำนักงานเขตปทุมวัน,354141000,ข,9623900,การคลัง,แผนงานบริหารการคลัง
25,สำนักงานเขตปทุมวัน,354141000,ค,150362600,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
